date,predicted_Usage_kWh
2019-04-22,2891.1215974
2019-04-23,3187.790637
2019-04-24,3359.4954275
2019-04-25,3446.4924153
2019-04-26,3118.9043234
2019-04-27,2137.9433033
2019-04-28,1941.2863398
2019-04-29,2764.4386466
2019-04-30,2884.9854959
2019-05-01,3396.1275051000002
2019-05-02,3533.3571477
2019-05-03,3636.0018796
2019-05-04,2749.6332945999998
2019-05-05,2222.204833
2019-05-06,3156.7496057
2019-05-07,4158.7557552
2019-05-08,3809.9094766
2019-05-09,4322.2510655
2019-05-10,3844.5290423
2019-05-11,2707.015636
2019-05-12,2310.6094778
2019-05-13,3186.8017288
2019-05-14,3569.9288356
2019-05-15,3632.0986739
2019-05-16,3765.3114578
2019-05-17,3820.1655092
2019-05-18,2537.2075242
2019-05-19,2170.4907349
2019-05-20,2917.9255521
2019-05-21,3316.2741693
2019-05-22,3617.1437115
2019-05-23,3726.2152055
2019-05-24,3410.6679754
2019-05-25,2224.2505255
2019-05-26,1921.5238077
2019-05-27,2769.5034732
2019-05-28,2876.6230009
2019-05-29,2923.9932414
2019-05-30,3062.5959927
2019-05-31,3236.6563535
2019-06-01,2191.3266821
2019-06-02,1998.1452393
2019-06-03,2952.6135295
2019-06-04,3750.075012
2019-06-05,3912.4366428
2019-06-06,4032.7874311
2019-06-07,3726.528465
2019-06-08,2681.2736874
2019-06-09,2210.1010583
2019-06-10,3016.5291136
2019-06-11,3712.4330267
2019-06-12,3550.6101813
2019-06-13,3872.4393668
2019-06-14,3762.1955934
2019-06-15,2616.5448376
2019-06-16,2213.8315347
2019-06-17,2988.4981966
2019-06-18,3398.5243784
2019-06-19,3648.5345978
2019-06-20,3548.4196039
2019-06-21,3488.7046516
2019-06-22,2311.1573149
2019-06-23,2003.6057407
2019-06-24,2747.7047134
2019-06-25,2828.3281043
2019-06-26,2811.0070357
2019-06-27,2882.9791613
2019-06-28,2834.5655286
2019-06-29,1929.8853119999999
2019-06-30,1872.7454446
2019-07-01,2853.6114036
2019-07-02,3285.4424644
2019-07-03,4050.0911301
2019-07-04,3662.1730195
2019-07-05,3811.1795608
2019-07-06,2660.5066594
2019-07-07,2185.2970321
2019-07-08,3022.4920873
2019-07-09,4051.1234196
2019-07-10,3543.7749584
2019-07-11,3984.0367062
2019-07-12,3878.9366572
2019-07-13,2469.1329918
2019-07-14,2130.7130512
2019-07-15,2990.5793949
2019-07-16,3237.8236843
2019-07-17,3814.6799657
2019-07-18,3699.3947768
2019-07-19,3439.2020222
2019-07-20,2326.3852148
2019-07-21,2084.7415095
2019-07-22,2899.7395423
2019-07-23,3165.5641210999997
2019-07-24,3337.025674
2019-07-25,3227.1134304
2019-07-26,3028.7167277
2019-07-27,2111.5215539
2019-07-28,1863.5099664
2019-07-29,2716.7251513
2019-07-30,2859.3517124
2019-07-31,3119.8799737
2019-08-01,3383.8768305
2019-08-02,3303.0101125
2019-08-03,2411.2408345
2019-08-04,2197.7884838
2019-08-05,3179.0718701
2019-08-06,4094.6096857
2019-08-07,3733.872986
2019-08-08,4245.4054163
2019-08-09,3726.4293396
2019-08-10,2682.2298091
2019-08-11,2249.5912655
2019-08-12,3028.1861475
2019-08-13,3558.9325033
2019-08-14,3751.7702856
2019-08-15,3877.4738065
2019-08-16,3566.7844092
2019-08-17,2728.1270716
2019-08-18,2128.0028039
2019-08-19,2956.7193383
2019-08-20,3238.7933586
2019-08-21,3372.8067604
2019-08-22,3382.4795675
2019-08-23,3156.7053159
2019-08-24,2232.2024585999998
2019-08-25,1885.2190772
2019-08-26,2738.8835709
2019-08-27,2841.201394
2019-08-28,2948.0641964
2019-08-29,2963.5628399
2019-08-30,2845.7535125
2019-08-31,2128.7460725
2019-09-01,1984.1833894
2019-09-02,2901.2631358
2019-09-03,3352.4660322
2019-09-04,4068.6245593
2019-09-05,3761.8441337
2019-09-06,3885.7681562000002
2019-09-07,2744.4003466
2019-09-08,2332.7554181
2019-09-09,2997.9950278
2019-09-10,4167.0333342
2019-09-11,3653.4407837
2019-09-12,3851.3521182
2019-09-13,3590.6435232
2019-09-14,2677.09963
2019-09-15,2281.1741942
2019-09-16,2957.7671737
2019-09-17,3288.4061291
2019-09-18,3545.3378558
2019-09-19,3607.3746064
2019-09-20,3573.2369062
2019-09-21,2452.0840011
2019-09-22,2067.7012906
2019-09-23,2872.6301153
2019-09-24,2897.2839141
2019-09-25,2915.6816528
2019-09-26,2864.1286723
2019-09-27,2804.0773241
2019-09-28,1959.0024022
2019-09-29,1848.6220397
2019-09-30,2805.6906289
2019-10-01,3057.2461416
2019-10-02,3579.0354105
2019-10-03,3852.6842162
2019-10-04,3495.4753284
2019-10-05,2642.1712194
2019-10-06,2258.4407611
2019-10-07,3045.6225792
2019-10-08,4032.9302521
2019-10-09,3766.1030267
2019-10-10,3694.2271332
2019-10-11,3881.7120262
2019-10-12,2701.771903
2019-10-13,2253.7546522
2019-10-14,2966.3664949
2019-10-15,3435.4087307
2019-10-16,3887.7759882
2019-10-17,3690.8222815999998
2019-10-18,3634.1196877
2019-10-19,2510.6839401
2019-10-20,2151.6656365
2019-10-21,2902.3320242
2019-10-22,3123.5667697
2019-10-23,3680.0585437
2019-10-24,3545.4131609
2019-10-25,3320.9580768
2019-10-26,2174.0236733
2019-10-27,1931.9758267
2019-10-28,2831.894057
2019-10-29,2843.4842561
2019-10-30,2956.2038388
2019-10-31,3257.848059
2019-11-01,3260.8721578
2019-11-02,2354.7167233
2019-11-03,2104.9548736
2019-11-04,3043.1826315
2019-11-05,3459.6530547
2019-11-06,3868.5916232
2019-11-07,3653.9433647
2019-11-08,3661.9760493999997
2019-11-09,2828.3118493
2019-11-10,2496.8382853
2019-11-11,4080.3310443
2019-11-12,3713.6955294
2019-11-13,3639.1271412
2019-11-14,3826.016215
2019-11-15,3687.596729
2019-11-16,2700.3093484
2019-11-17,2267.5988929
2019-11-18,3038.66221
2019-11-19,3520.117208
2019-11-20,4041.3487451
2019-11-21,3668.5471733
2019-11-22,3548.7984782
2019-11-23,2500.9635122
2019-11-24,2051.6778338
2019-11-25,2778.3977396
2019-11-26,2872.8169917
2019-11-27,2921.9030685000002
2019-11-28,3096.8152105
2019-11-29,3239.7385255
2019-11-30,2193.7630213
2019-12-01,2023.5797021
2019-12-02,2993.0001963
2019-12-03,3500.1886175
2019-12-04,4064.661277
2019-12-05,3944.2872162
2019-12-06,3770.2733897
2019-12-07,2897.4710009
2019-12-08,2440.1385161
2019-12-09,3374.370983
2019-12-10,4074.6146888
2019-12-11,3778.1382108
2019-12-12,4266.2350892
2019-12-13,3786.5057462
2019-12-14,2455.7534017
2019-12-15,2166.3088531
2019-12-16,3153.1710372
2019-12-17,3644.8941984
2019-12-18,4068.5170043
2019-12-19,3756.8290281
2019-12-20,3618.60120126
2019-12-21,2414.6993211
2019-12-22,2046.8152
2019-12-23,2870.8888314
2019-12-24,2922.3328877
2019-12-25,2904.3887417
2019-12-26,3056.7648733
2019-12-27,3138.3122981
2019-12-28,2288.4045894
2019-12-29,1923.0168556
2019-12-30,2781.2173296
2019-12-31,2912.1285038
